County_name,Areaname,Full_Names,State_FIPS,State_name,County_FIPS,Offset,Bipolar_Disorder,Schizophrenia,Depression,Personality_Disorder,Parkinsons_Disease,Epilepsy,Bipolar_2_Claims,Lithium,Bipolar_Lithium,Perc_Am_Ind,Perc_Asian,Perc_Black_Hisp,Perc_Black_non_Hisp,Perc_Pacific,Perc_White_Hisp,Perc_White_non_Hisp,Perc_Poor,Perc_Insured,Perc_Urban,Income,Pop_Density,EQI,Air_EQI,Water_EQI,Land_EQI,Sociod_EQI,Built_EQI,Good_days,Bad_days,Water_EQI_2,Water_EQI_3,Perc_Urban_2,Air_EQI_2
Autauga County,"Autauga, AL",Autauga County AL,1,AL,1001,12778,119,70,740,*,*,120,82,31,123,0.516,0.548,0.112,17.169,0.004,1.331,79.506,11.854,81.998,55.4,26228,85.385,0.004,0.955,-1.11,-0.707,0.67,-0.497,11.552,3.285,1.2321,8.89,57.4,12.955
Baldwin County,"Baldwin, AL",Baldwin County AL,1,AL,1003,32498,305,154,1740,61,36,397,233,72,328,0.509,0.348,0.105,9.955,0.015,2.017,86.222,10.267,78.838,45.4,28269,113.146,0.2,0.718,-0.566,-1.084,0.553,0.402,8.486,0.931,0.320356,9.434,47.4,12.718
Barbour County,"Barbour, AL",Barbour County AL,1,AL,1005,6356,46,39,363,*,*,49,35,*,52,0.441,0.329,0.301,46.503,0.007,2.409,49.687,21.392,74.602,29.5,21999,33.606,-0.951,0.131,-0.978,-1.281,-1.236,0.049,10.868,2.518,0.956484,9.022,31.5,12.131
Bibb County,"Bibb, AL",Bibb County AL,1,AL,1007,4500,34,31,285,*,*,44,*,*,43,0.272,0.117,0.188,22.447,0,1.023,75.625,16.306,78.702,18.2,20320,34.673,-1.089,0.065,-0.968,-0.827,-0.6,-1.291,11.251,3.34,0.937024,9.032,20.2,12.065
Blount County,"Blount, AL",Blount County AL,1,AL,1009,9310,63,52,514,*,*,83,45,*,72,0.562,0.164,0.024,1.497,0.025,5.961,91.06,12.446,79.566,9.2,22911,90.488,-0.514,0.402,-0.719,-0.623,0.297,-1.263,11.963,1.642,0.516961,9.281,11.2,12.402
Bullock County,"Bullock, AL",Bullock County AL,1,AL,1011,1991,*,*,78,*,*,*,*,*,*,0.445,0.214,0.757,71.485,0,4.266,22.682,25.71,68.742,38.4,17976,17.638,-2.083,-0.309,-1.451,-1.258,-1.824,-1.796,11.059,2.163,2.105401,8.549,40.4,11.691
Butler County,"Butler, AL",Butler County AL,1,AL,1013,3815,*,*,201,*,*,31,*,*,*,0.202,0.347,0.294,40.97,0,0.448,57.6,20.757,81.694,24.7,23733,25.699,-1.296,-0.07,-1.528,-1.679,-1.296,-0.058,10.238,1.944,2.334784,8.472,26.7,11.93
Calhoun County,"Calhoun, AL",Calhoun County AL,1,AL,1015,29563,293,138,1647,63,*,273,206,49,307,0.406,0.672,0.101,19.436,0.093,1.806,76.581,16.6,82.872,69.1,26343,188.293,0.171,1.027,-0.928,-0.067,-0.37,0.405,11.771,1.396,0.861184,9.072,71.1,13.027
Chambers County,"Chambers, AL",Chambers County AL,1,AL,1017,9644,59,33,472,*,*,65,40,*,60,0.09,0.194,0.211,38.314,0,0.745,60.129,16.954,85.976,50.3,22404,57.533,-0.458,0.612,-1.004,-0.237,-0.699,-0.408,10.676,1.177,1.008016,8.996,52.3,12.612
Cherokee County,"Cherokee, AL",Cherokee County AL,1,AL,1019,4963,41,*,368,*,*,48,30,*,42,0.314,0.257,0.012,5.554,0,1.028,92.175,15.959,82.728,0,22541,44.154,-0.658,0.177,-0.97,-0.195,-0.674,-0.619,11.47,1.369,0.9409,9.03,2,12.177
Chilton County,"Chilton, AL",Chilton County AL,1,AL,1021,8980,74,52,461,*,*,92,44,*,84,0.299,0.294,0.2,10.601,0.029,3.289,84.751,14.8,81.397,12.1,22290,62.021,-0.542,0.171,-1.06,-0.665,-0.141,-0.447,11.361,2.573,1.1236,8.94,14.1,12.171
Choctaw County,"Choctaw, AL",Choctaw County AL,1,AL,1023,5011,33,30,293,*,*,34,*,*,34,0.085,0.053,0.295,44.022,0,0.453,54.928,19.478,84.926,0,22389,15.315,-1.584,-0.362,-1.242,-1.717,-1.243,-0.743,10.512,3.394,1.542564,8.758,2,11.638
